   0.16000000e+01     0.10291545e+01
   0.16000359e+01     0.10291573e+01
   0.16000717e+01     0.10291600e+01
   0.16001076e+01     0.10291628e+01
   0.16001434e+01     0.10291656e+01
   0.16001793e+01     0.10291683e+01
   0.16002151e+01     0.10291711e+01
   0.16002510e+01     0.10291738e+01
   0.16002868e+01     0.10291766e+01
   0.16003227e+01     0.10291793e+01
   0.16003585e+01     0.10291821e+01
   0.16003944e+01     0.10291848e+01
   0.16004302e+01     0.10291876e+01
   0.16004661e+01     0.10291903e+01
   0.16005019e+01     0.10291930e+01
   0.16005378e+01     0.10291958e+01
   0.16005736e+01     0.10291985e+01
   0.16006095e+01     0.10292012e+01
   0.16006453e+01     0.10292040e+01
   0.16006812e+01     0.10292067e+01
   0.16007170e+01     0.10292094e+01
   0.16007529e+01     0.10292121e+01
   0.16007887e+01     0.10292148e+01
   0.16008246e+01     0.10292175e+01
   0.16008604e+01     0.10292203e+01
   0.16008963e+01     0.10292230e+01
   0.16009321e+01     0.10292257e+01
   0.16009679e+01     0.10292284e+01
   0.16010038e+01     0.10292311e+01
   0.16010396e+01     0.10292338e+01
   0.16010755e+01     0.10292365e+01
   0.16011113e+01     0.10292391e+01
   0.16011472e+01     0.10292418e+01
   0.16011830e+01     0.10292445e+01
   0.16012189e+01     0.10292472e+01
   0.16012547e+01     0.10292499e+01
   0.16012906e+01     0.10292526e+01
   0.16013264e+01     0.10292552e+01
   0.16013623e+01     0.10292579e+01
   0.16013981e+01     0.10292606e+01
   0.16014340e+01     0.10292632e+01
   0.16014698e+01     0.10292659e+01
   0.16015057e+01     0.10292686e+01
   0.16015415e+01     0.10292712e+01
   0.16015774e+01     0.10292739e+01
   0.16016132e+01     0.10292765e+01
   0.16016491e+01     0.10292792e+01
   0.16016849e+01     0.10292818e+01
   0.16017208e+01     0.10292845e+01
   0.16017566e+01     0.10292871e+01
   0.16017925e+01     0.10292898e+01
   0.16018283e+01     0.10292924e+01
   0.16018642e+01     0.10292951e+01
   0.16019000e+01     0.10292977e+01
   0.16019359e+01     0.10293003e+01
   0.16019717e+01     0.10293030e+01
   0.16020076e+01     0.10293056e+01
   0.16020434e+01     0.10293082e+01
   0.16020793e+01     0.10293108e+01
   0.16021151e+01     0.10293135e+01
   0.16021510e+01     0.10293161e+01
   0.16021868e+01     0.10293187e+01
   0.16022227e+01     0.10293213e+01
   0.16022585e+01     0.10293239e+01
   0.16022944e+01     0.10293265e+01
   0.16023302e+01     0.10293291e+01
   0.16023661e+01     0.10293317e+01
   0.16024019e+01     0.10293343e+01
   0.16024378e+01     0.10293369e+01
   0.16024736e+01     0.10293395e+01
   0.16025095e+01     0.10293421e+01
   0.16025453e+01     0.10293447e+01
   0.16025812e+01     0.10293473e+01
   0.16026170e+01     0.10293499e+01
   0.16026529e+01     0.10293525e+01
   0.16026887e+01     0.10293550e+01
   0.16027246e+01     0.10293576e+01
   0.16027604e+01     0.10293602e+01
   0.16027963e+01     0.10293628e+01
   0.16028321e+01     0.10293654e+01
   0.16028679e+01     0.10293679e+01
   0.16029038e+01     0.10293705e+01
   0.16029396e+01     0.10293731e+01
   0.16029755e+01     0.10293756e+01
   0.16030113e+01     0.10293782e+01
   0.16030472e+01     0.10293807e+01
   0.16030830e+01     0.10293833e+01
   0.16031189e+01     0.10293858e+01
   0.16031547e+01     0.10293884e+01
   0.16031906e+01     0.10293909e+01
   0.16032264e+01     0.10293935e+01
   0.16032623e+01     0.10293960e+01
   0.16032981e+01     0.10293986e+01
   0.16033340e+01     0.10294011e+01
   0.16033698e+01     0.10294036e+01
   0.16034057e+01     0.10294062e+01
   0.16034415e+01     0.10294087e+01
   0.16034774e+01     0.10294112e+01
   0.16035132e+01     0.10294138e+01
   0.16035491e+01     0.10294163e+01
   0.16035849e+01     0.10294188e+01
   0.16036208e+01     0.10294213e+01
   0.16036566e+01     0.10294239e+01
   0.16036925e+01     0.10294264e+01
   0.16037283e+01     0.10294289e+01
   0.16037642e+01     0.10294314e+01
   0.16038000e+01     0.10294339e+01
   0.16038359e+01     0.10294364e+01
   0.16038717e+01     0.10294389e+01
   0.16039076e+01     0.10294414e+01
   0.16039434e+01     0.10294439e+01
   0.16039793e+01     0.10294464e+01
