W(GeV) sigma_mea(pb) sigma_err(pb)
3.04965998376149 67.32107333099037 6.76503410608817
3.05870998083919 65.91735912923322 6.626199978731064
3.08 56.881720284671495 3.240015704237644
3.08251005470119 48.25158039784309 10.411379997735283
3.08759088818636 43.27065826948312 11.804076004500908
3.08887001947556 50.148200410751066 5.525437668517507
3.09178006747535 45.61374647911128 5.75416594674958
3.09464037416888 107.37247104381619 22.549839077893807
3.0954045078721 488.04815692488336 59.046824120671566
3.0957718985031 901.3850368374494 69.56813498216785
3.09598734452729 1269.5660554130895 97.08260467591468
3.09626489077641 1530.5779995081743 93.42005995524758
3.09689635699997 1994.6990187185513 103.33791437404665
3.09719555432537 2130.6622683006112 134.8302085834991
3.09697516575715 1912.8184256538864 111.10138705259894
3.09725645719837 1900.1027745148965 135.93845661461168
3.09770234676335 1589.9055807441564 90.1221181668381
3.09832154373188 984.0120763722117 89.23507162993677
3.09868853753424 651.7214823397628 43.427715047553185
3.09903416904108 485.50312876319197 75.06186356292923
3.1013827940256 161.4108561320986 33.73306428257476
3.10400450197821 117.47619318584951 13.726700717754579
3.10560380927991 91.69032030347861 18.859417077494648
3.11207151947318 71.12801252901784 16.33819735283734
3.1198898725943 85.17500492922333 26.393139034314554
